sector,GRANTEE,AMOUNT COMMITTED,percentage
health,GAVI Alliance,4579940484.0,7.38
health,World Health Organization,4267525175.0,6.87
health,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",3711057862.0,5.98
health,PATH,2888675052.0,4.65
health,The Rotary Foundation of Rotary International,1898595000.0,3.06
health,United States Fund for UNICEF,1790446202.0,2.88
health,Gates Medical Research Institute,1322971140.0,2.13
health,University of Washington Foundation,1029395919.0,1.66
health,MMV Medicines for Malaria Venture,925426391.0,1.49
health,International Bank for Reconstruction and Development,898388926.0,1.45
growth,AGRA,766534992.0,7.31
health,The GAVI Campaign,762838000.0,1.23
health,Johns Hopkins University,762363661.0,1.23
health,Clinton Health Access Initiative Inc,744869600.0,1.2
health,TB Alliance,524856461.0,0.85
health,Foundation for the National Institutes of Health (FNIH),517922324.0,0.83
health,Aeras,511180406.0,0.82
health,Family Health International,433870272.0,0.7
health,World Health Organization Pakistan Country Office,426250832.0,0.69
growth,International Bank for Reconstruction and Development,418195078.0,3.99
health,Emory University,408110970.0,0.66
growth,Centro Internacional de Mejoramiento de Maiz y Trigo,400443192.0,3.82
health,Population Services International,393280168.0,0.63
others,GAVI Alliance,375000000.0,10.4
others,The GAVI Campaign,375000000.0,10.4
health,World Health Organization Nigeria Country Office,365668767.0,0.59
health,University of California San Francisco,353494499.0,0.57
health,University of Manitoba,348706517.0,0.56
health,PATH Vaccine Solutions,342816548.0,0.55
health,"The Task Force for Global Health, Inc.",332325417.0,0.54
health,European Investment Bank,330000000.0,0.53
health,Imperial College London,326854612.0,0.53
health,London School of Hygiene and Tropical Medicine,325213893.0,0.52
health,UNICEF Headquarters,319176587.0,0.51
health,International AIDS Vaccine Initiative,317680696.0,0.51
health,"JSI Research & Training Institute, Inc.",317597019.0,0.51
health,University of Oxford,307623687.0,0.5
health,International Vaccine Institute,295021374.0,0.48
health,CARE,294155012.0,0.47
health,"University of Maryland, Baltimore",278398764.0,0.45
health,The Carter Center,276785589.0,0.45
health,Duke University,275592260.0,0.44
health,United Nations Foundation,275281017.0,0.44
health,World Health Organization Regional Office for Africa,275101281.0,0.44
health,Coalition for Epidemic Preparedness Innovations,270400000.0,0.44
health,The General Hospital Corporation d/b/a Massachusetts General Hospital,264776144.0,0.43
health,Innovative Vector Control Consortium (IVCC),264767112.0,0.43
growth,University of Washington Foundation,257378827.0,2.45
health,"Save the Children Federation, Inc.",244691128.0,0.39
health,Wits Health Consortium (Pty) Ltd,238762481.0,0.38
health,Calibr-Skaggs Institute for Innovative Medicines,233509470.0,0.38
health,Global Alliance for Improved Nutrition,231013790.0,0.37
health,Agence Française de Développement,228355532.0,0.37
health,Harvard University,226030818.0,0.36
health,International Development Association,218044358.0,0.35
health,Foundation for Innovative New Diagnostics (FIND),211875114.0,0.34
health,Islamic Development Bank,211258303.0,0.34
health,Columbia University,211005873.0,0.34
education,Cambridge University Development Office in the United States Inc (CUDOUS),210000000.0,7.01
health,CDC Foundation,208266429.0,0.34
health,Liverpool School of Tropical Medicine,206559524.0,0.33
health,Jhpiego Corporation,198829997.0,0.32
health,University of Washington,192124270.0,0.31
growth,Cornell University,191871479.0,1.83
health,United Nations Population Fund,188906438.0,0.3
growth,International Rice Research Institute,188206317.0,1.79
health,Johns Hopkins University Bloomberg School of Public Health,188131180.0,0.3
growth,International Institute of Tropical Agriculture,187981272.0,1.79
health,International AIDS Vaccine Initiative Inc,187474732.0,0.3
growth,Islamic Development Bank,187000000.0,1.78
health,Stanford University,186271294.0,0.3
health,Global Alliance for Livestock Veterinary Medicines,183921531.0,0.3
others,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",181075000.0,5.02
health,Drugs for Neglected Diseases Initiative,175146000.0,0.28
health,University of North Carolina at Chapel Hill,174721819.0,0.28
health,International Food Policy Research Institute,172177267.0,0.28
health,Sabin Vaccine Institute,170933727.0,0.28
health,Fred Hutchinson Cancer Center,163062617.0,0.26
growth,African Agricultural Technology Foundation,162230568.0,1.55
health,Government of Japan,161548868.0,0.26
health,PATH Drug Solutions,161203993.0,0.26
health,eHealth Africa,160552163.0,0.26
health,Harvard T.H. Chan School of Public Health,156460499.0,0.25
health,FHI Solutions LLC,155181446.0,0.25
health,International Partnership for Microbicides,150730065.0,0.24
health,Aga Khan University,150571528.0,0.24
health,Bloomberg Philanthropies,148439026.0,0.24
health,Pfizer Inc.,144752854.0,0.23
health,Washington University,142930575.0,0.23
health,"RESULTS Educational Fund, Inc.",139843618.0,0.23
others,The One Campaign,137645856.0,3.82
growth,"TechnoServe, Inc.",132244149.0,1.26
equality,International Bank for Reconstruction and Development,127881030.0,7.27
growth,International Crops Research Institute for the Semi-Arid Tropics,125688072.0,1.2
growth,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,122171433.0,1.16
health,Pathfinder International,120514798.0,0.19
health,MSI Reproductive Choices,118289142.0,0.19
health,Oregon Health & Science University,117495395.0,0.19
health,Rockefeller University,117251857.0,0.19
education,New Venture Fund,117104922.0,3.91
health,"Inventprise, Inc.",116840287.0,0.19
health,The END Fund,112303797.0,0.18
health,Beth Israel Deaconess Medical Center Inc.,110541199.0,0.18
others,AGRA,109597462.0,3.04
health,Access to Advanced Health Institute,108144175.0,0.17
others,PATH,107236774.0,2.97
health,Massachusetts Institute of Technology,106810103.0,0.17
health,University of Cape Town,104432246.0,0.17
growth,Food and Agriculture Organization of the United Nations,104186686.0,0.99
health,New Venture Fund,103686503.0,0.17
health,Fred Hutchinson Cancer Research Center,102167524.0,0.16
health,Minister of State Office,101756501.0,0.16
growth,International Potato Center,101560119.0,0.97
health,Biological E. Limited,101016578.0,0.16
health,"International Centre for Diarrhoeal Disease Research, Bangladesh",100796367.0,0.16
health,"DKT International, Inc.",100717845.0,0.16
equality,"Co-Impact Philanthropic Funds, Inc.",100000000.0,5.69
health,"Population Council, Inc.",97787049.0,0.16
health,Inter-American Development Bank,96706173.0,0.16
health,"Novavax, Inc.",96327585.0,0.16
health,Global Health Innovative Technology Fund,94800000.0,0.15
health,Sightsavers,93892899.0,0.15
growth,CARE,93000847.0,0.89
health,The Beijing Huayi Health and Drug Research Institute,91093432.0,0.15
education,University of Washington,91003283.0,3.04
