sector,DATE COMMITTED,GRANTEE,AMOUNT COMMITTED,percentage
growth,1995.0,"Guttmacher Institute, Inc.",1000000.0,100.0
health,1995.0,PATH,750000.0,100.0
others,1995.0,United Way International,100000.0,100.0
others,1996.0,United Way International,200000.0,95.24
others,1996.0,International Rescue Committee,10000.0,4.76
growth,1997.0,Cambridge University Development Office in the United States Inc (CUDOUS),19449000.0,97.74
others,1997.0,Technology Resource Institute,2777795.0,73.53
health,1997.0,Johns Hopkins University,2257200.0,79.0
others,1997.0,Operation Smile - Norfolk,1000000.0,26.47
education,1997.0,Gandhi Institute of Computer Education and Information Technology,700000.0,20.27
health,1997.0,Population Communications International,600000.0,21.0
growth,1997.0,Landesa Rural Development Institute,450000.0,2.26
education,1997.0,Birmingham Public Library,349291.0,10.11
education,1997.0,Jefferson County Library Cooperative,209565.0,6.07
education,1997.0,Mobile Public Library,173398.0,5.02
education,1997.0,Huntsville-Madison Co. Public Library,165476.0,4.79
education,1997.0,Montgomery City-County Public Library,131957.0,3.82
education,1997.0,Tuscaloosa Public Library,79914.0,2.31
education,1997.0,University of Alabama,72180.0,2.09
education,1997.0,Harrison Regional Library System,57843.0,1.67
education,1997.0,Jasper Public Library (Carl Elliott Regional),55744.0,1.61
education,1997.0,Cullman County Public Library System,33090.0,0.96
education,1997.0,Demopolis Public Library,32122.0,0.93
education,1997.0,Autauga-Prattville Public Library,30510.0,0.88
education,1997.0,Houston-Love Memorial Library,27165.0,0.79
education,1997.0,Gadsden-Etowah County Public Library,26990.0,0.78
education,1997.0,Wilcox County Library,25890.0,0.75
education,1997.0,Washington County Public Library,25160.0,0.73
education,1997.0,Prichard Public Library,24860.0,0.72
education,1997.0,H. Grady Bradshaw-Chambers County Library,21840.0,0.63
education,1997.0,Anniston-Calhoun County Public Library,21765.0,0.63
education,1997.0,Decatur Public Library,21502.0,0.62
education,1997.0,Empowerment Africa Foundation,20467.0,0.59
education,1997.0,Lewis Cooper Jr. Memorial Library,19250.0,0.56
education,1997.0,Troy Public Library,19250.0,0.56
education,1997.0,Selma-Dallas County Public Library,19175.0,0.56
education,1997.0,Phenix City-Russell County Public Library,18960.0,0.55
education,1997.0,St. Clair County Library System,18840.0,0.55
education,1997.0,DeKalb County Public Library,18240.0,0.53
education,1997.0,Muscle Shoals Public Library,18240.0,0.53
education,1997.0,Scottsboro Public Library,18120.0,0.52
education,1997.0,Albertville Public Library,17840.0,0.52
education,1997.0,Arab Public Library,17840.0,0.52
education,1997.0,Attalla-Etowah County Public Library,17840.0,0.52
education,1997.0,B. B. Comer Memorial Library,17840.0,0.52
education,1997.0,Bay Minette Public Library (Hampton D. Ewing Public),17840.0,0.52
education,1997.0,Enterprise Public Library,17840.0,0.52
education,1997.0,Eufaula Carnegie Library,17840.0,0.52
education,1997.0,Evergreen-Conecuh County Public Library,17840.0,0.52
education,1997.0,Fairhope Public Library,17840.0,0.52
education,1997.0,Florence-Lauderdale Public Library,17840.0,0.52
education,1997.0,Oxford Public Library,17840.0,0.52
education,1997.0,Ozark-Dale County Public Library,17840.0,0.52
education,1997.0,Sheffield Public Library,17840.0,0.52
education,1997.0,Talladega Public Library,17840.0,0.52
education,1997.0,Thomas B. Norton Public Library,17840.0,0.52
education,1997.0,Greenville-Butler County Public Library,17815.0,0.52
education,1997.0,Jacksonville Public Library,17740.0,0.51
education,1997.0,Athens-Limestone Public Library,17621.0,0.51
education,1997.0,Adelia M. Russell Library,17526.0,0.51
education,1997.0,Brent-Centreville Public Library,17460.0,0.51
education,1997.0,North Shelby County Library,17261.0,0.5
education,1997.0,Blountsville Public Library,17100.0,0.5
education,1997.0,Oneonta Public Library,15740.0,0.46
education,1997.0,Atmore Public Library,11985.0,0.35
education,1997.0,Choctaw County Public Library,11785.0,0.34
education,1997.0,Luverne Public Library,11545.0,0.33
education,1997.0,Hoover Public Library,11420.0,0.33
education,1997.0,Orange Beach Public Library,11115.0,0.32
education,1997.0,Killen Public Library,10710.0,0.31
education,1997.0,Helena Public Library,10226.0,0.3
education,1997.0,White Smith Memorial Library,9946.0,0.29
education,1997.0,Andalusia Public Library,9250.0,0.27
education,1997.0,Baldwin County Library Cooperative,7830.0,0.23
education,1997.0,Midfield Public Library,7460.0,0.22
education,1997.0,Brewton Public Library,7300.0,0.21
education,1997.0,Hayneville/Lowndes Public Library,7300.0,0.21
education,1997.0,Satsuma Public Library,7150.0,0.21
education,1997.0,Marion-Perry County Library,7015.0,0.2
education,1997.0,Tallassee Community Library,7000.0,0.2
education,1997.0,Abbeville Memorial Library,6800.0,0.2
